Hyperparams,Best_Val_Loss
lr0.0005_bs64_hd128_nl3_nh4_cd16_k16,tensor([0.0036], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd16_k32,tensor([0.0035], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd64_k32,tensor([0.0034], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd16_k64,tensor([0.0030], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd64_k16,tensor([0.0036], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd512_k32,tensor([0.0034], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh4_cd512_k16,tensor([0.0035], device='cuda:0')
lr0.0005_bs64_hd128_nl3_nh16_cd16_k16,tensor([0.0035], device='cuda:0')
lr0.0005_bs64_hd128_nl5_nh4_cd16_k16,tensor([0.0033], device='cuda:0')
lr0.0005_bs64_hd128_nl5_nh4_cd16_k32,tensor([0.0033], device='cuda:0')
lr0.0005_bs64_hd128_nl5_nh4_cd512_k16,tensor([0.0033], device='cuda:0')
lr0.0005_bs64_hd256_nl3_nh4_cd16_k16,tensor([0.0109], device='cuda:0')
lr0.0005_bs64_hd256_nl3_nh4_cd512_k16,tensor([0.0035], device='cuda:0')
