Hyperparams,Best_Val_Loss,Efficiency,Fake_Rate
lr0.001_bs32_hd64_k24_temp0.1_cd128,3.1487325422858704e-06,0.954,0.014
lr0.001_bs32_hd32_k48_temp0.1_cd8,2.018758560780043e-06,0.965,0.012
lr0.001_bs32_hd32_k48_temp0.1_cd128,2.260051863913759e-06,0.97,0.01
lr0.001_bs32_hd32_k24_temp0.1_cd128,7.172081304815947e-06,0.965,0.013
lr0.001_bs32_hd32_k24_temp0.1_cd8,5.095934337987274e-06,0.954,0.025
lr0.001_bs32_hd64_k24_temp0.1_cd8,4.369232200588158e-06,0.948,0.059
lr0.001_bs32_hd32_k64_temp0.1_cd128,1.8153919326096003e-06,0.96,0.016
lr0.001_bs32_hd64_k48_temp0.1_cd8,2.0621644050606847e-06,0.962,0.033
lr0.001_bs32_hd32_k64_temp0.1_cd8,1.6237633839182308e-06,0.965,0.014
lr0.001_bs32_hd64_k48_temp0.1_cd128,1.8282444232227136e-06,0.967,0.013
lr0.001_bs32_hd128_k24_temp0.1_cd8,5.031324759329437e-06,0.942,0.026
lr0.001_bs32_hd64_k64_temp0.1_cd8,1.3867953188082538e-06,0.965,0.016
lr0.001_bs32_hd128_k24_temp0.1_cd128,1.7661088431850658e-06,0.959,0.021
lr0.001_bs32_hd128_k48_temp0.1_cd8,1.5355003906165622e-06,0.957,0.021
lr0.001_bs32_hd64_k64_temp0.1_cd128,1.6574361886796395e-06,0.958,0.021
lr0.001_bs64_hd32_k24_temp0.1_cd8,4.739932388474699e-06,0.93,0.044
lr0.001_bs64_hd32_k48_temp0.1_cd8,2.899138611610397e-06,0.972,0.02
lr0.001_bs64_hd32_k24_temp0.1_cd128,2.800754220515955e-06,0.959,0.018
lr0.001_bs32_hd128_k64_temp0.1_cd128,1.6799731995433832e-06,0.96,0.029
lr0.001_bs64_hd32_k48_temp0.1_cd128,2.1676804635717417e-06,0.969,0.016
lr0.001_bs32_hd128_k64_temp0.1_cd8,1.6824319607167126e-06,0.95,0.04
lr0.001_bs64_hd64_k24_temp0.1_cd8,3.819006247795187e-06,0.944,0.027
lr0.001_bs32_hd128_k48_temp0.1_cd128,1.6389586028253689e-06,0.964,0.012
lr0.001_bs64_hd32_k64_temp0.1_cd128,1.8080527670463198e-06,0.966,0.02
lr0.001_bs64_hd64_k24_temp0.1_cd128,4.726082890556427e-06,0.956,0.027
lr0.001_bs64_hd64_k48_temp0.1_cd8,2.2575322691409383e-06,0.961,0.021
lr0.001_bs64_hd32_k64_temp0.1_cd8,1.736774705022981e-06,0.965,0.019
lr0.001_bs64_hd64_k48_temp0.1_cd128,2.1407769609140813e-06,0.96,0.015
lr0.001_bs64_hd128_k24_temp0.1_cd128,4.526120847003767e-06,0.968,0.016
lr0.001_bs64_hd128_k24_temp0.1_cd8,2.694278824492358e-06,0.96,0.012
lr0.005_bs32_hd32_k24_temp0.1_cd8,1.8833313624782022e-05,0.888,0.104
lr0.001_bs64_hd64_k64_temp0.1_cd8,1.5649379120077357e-06,0.966,0.013
lr0.001_bs64_hd128_k48_temp0.1_cd8,1.6931530735746492e-06,0.968,0.02
lr0.001_bs64_hd128_k48_temp0.1_cd128,1.6083089535641194e-06,0.964,0.029
lr0.005_bs32_hd32_k24_temp0.1_cd128,2.6615966009558178e-05,0.906,0.118
lr0.005_bs32_hd32_k48_temp0.1_cd8,1.3027590037381742e-05,0.925,0.054
lr0.001_bs64_hd128_k64_temp0.1_cd8,1.09191577303136e-06,0.969,0.016
lr0.001_bs64_hd64_k64_temp0.1_cd128,1.4777374085497286e-06,0.964,0.016
lr0.005_bs32_hd32_k48_temp0.1_cd128,1.1020309320883826e-05,0.939,0.046
lr0.005_bs32_hd32_k64_temp0.1_cd8,1.1964957870077341e-05,0.91,0.06
lr0.005_bs32_hd32_k64_temp0.1_cd128,1.1464913975942182e-05,0.934,0.059
lr0.005_bs32_hd64_k24_temp0.1_cd8,1.527362937122234e-05,0.902,0.079
