Hyperparams,Best_Val_Loss
lr0.0001_bs64_hd64_nl3_temp0.1_cd8_k16,tensor([0.0110])
lr0.0001_bs64_hd64_nl3_temp0.1_cd8_k32,tensor([0.0110])
lr0.0001_bs64_hd64_nl3_temp0.1_cd64_k16,tensor([0.0112])
lr0.0001_bs64_hd64_nl3_temp0.1_cd8_k64,tensor([0.0111])
lr0.0001_bs64_hd64_nl3_temp0.1_cd64_k32,tensor([0.0112])
lr0.0001_bs64_hd64_nl3_temp0.1_cd512_k16,tensor([0.0113])
lr0.0001_bs64_hd64_nl3_temp0.1_cd512_k32,tensor([0.0099])
lr0.0001_bs64_hd64_nl4_temp0.1_cd8_k16,tensor([0.0110])
lr0.0001_bs64_hd64_nl3_temp0.1_cd512_k64,tensor([0.0112])
lr0.0001_bs64_hd64_nl3_temp0.1_cd64_k64,tensor([0.0113])
lr0.0001_bs64_hd64_nl4_temp0.1_cd64_k16,tensor([0.0102])
lr0.0001_bs64_hd64_nl4_temp0.1_cd8_k64,tensor([0.0110])
lr0.0001_bs64_hd64_nl4_temp0.1_cd8_k32,tensor([0.0110])
lr0.0001_bs64_hd64_nl4_temp0.1_cd64_k32,tensor([0.0112])
lr0.0001_bs64_hd64_nl4_temp0.1_cd512_k16,tensor([0.0113])
lr0.0001_bs64_hd64_nl4_temp0.1_cd64_k64,tensor([0.0113])
lr0.0001_bs64_hd64_nl5_temp0.1_cd8_k16,tensor([0.0109])
lr0.0001_bs64_hd64_nl5_temp0.1_cd8_k32,tensor([0.0109])
lr0.0001_bs64_hd64_nl5_temp0.1_cd64_k16,tensor([0.0112])
lr0.0001_bs64_hd64_nl4_temp0.1_cd512_k64,tensor([0.0096])
lr0.0001_bs64_hd64_nl4_temp0.1_cd512_k32,tensor([0.0099])
lr0.0001_bs64_hd64_nl5_temp0.1_cd512_k16,tensor([0.0111])
lr0.0001_bs64_hd64_nl5_temp0.1_cd8_k64,tensor([0.0110])
lr0.0001_bs64_hd64_nl5_temp0.1_cd64_k32,tensor([0.0104])
lr0.0001_bs64_hd64_nl5_temp0.1_cd64_k64,tensor([0.0112])
lr0.0001_bs64_hd128_nl3_temp0.1_cd8_k16,tensor([0.0105])
lr0.0001_bs64_hd64_nl5_temp0.1_cd512_k32,tensor([0.0112])
lr0.0001_bs64_hd64_nl5_temp0.1_cd512_k64,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_temp0.1_cd64_k16,tensor([0.0100])
lr0.0001_bs64_hd128_nl3_temp0.1_cd8_k32,tensor([0.0097])
lr0.0001_bs64_hd128_nl3_temp0.1_cd64_k32,tensor([0.0096])
lr0.0001_bs64_hd128_nl3_temp0.1_cd512_k16,tensor([0.0100])
lr0.0001_bs64_hd128_nl3_temp0.1_cd8_k64,tensor([0.0110])
lr0.0001_bs64_hd128_nl3_temp0.1_cd512_k32,tensor([0.0097])
lr0.0001_bs64_hd128_nl3_temp0.1_cd64_k64,tensor([0.0096])
lr0.0001_bs64_hd128_nl4_temp0.1_cd8_k16,tensor([0.0099])
lr0.0001_bs64_hd128_nl4_temp0.1_cd64_k16,tensor([0.0102])
lr0.0001_bs64_hd128_nl3_temp0.1_cd512_k64,tensor([0.0095])
lr0.0001_bs64_hd128_nl4_temp0.1_cd512_k16,tensor([0.0100])
lr0.0001_bs64_hd128_nl5_temp0.1_cd8_k16,tensor([0.0096])
lr0.0001_bs64_hd128_nl5_temp0.1_cd64_k16,tensor([0.0099])
lr0.0001_bs64_hd256_nl3_temp0.1_cd8_k16,tensor([0.0096])
lr0.0001_bs64_hd256_nl3_temp0.1_cd64_k16,tensor([0.0096])
lr0.0001_bs64_hd256_nl3_temp0.1_cd8_k32,tensor([0.0095])
lr0.0001_bs64_hd256_nl3_temp0.1_cd64_k32,tensor([0.0097])
lr0.0001_bs64_hd256_nl3_temp0.1_cd512_k16,tensor([0.0099])
lr0.0001_bs64_hd256_nl3_temp0.1_cd8_k64,tensor([0.0094])
lr0.0001_bs64_hd256_nl3_temp0.1_cd64_k64,tensor([0.0095])
lr0.0001_bs64_hd256_nl3_temp0.1_cd512_k32,tensor([0.0096])
lr0.0001_bs64_hd256_nl3_temp0.1_cd512_k64,tensor([0.0095])
lr0.0001_bs64_hd256_nl4_temp0.1_cd8_k32,tensor([0.0102])
lr0.0001_bs64_hd256_nl4_temp0.1_cd64_k32,tensor([0.0097])
lr0.0001_bs64_hd256_nl4_temp0.1_cd8_k64,tensor([0.0095])
lr0.0001_bs64_hd256_nl4_temp0.1_cd512_k32,tensor([0.0097])
lr0.0001_bs64_hd256_nl4_temp0.1_cd64_k64,tensor([0.0096])
lr0.0001_bs64_hd256_nl4_temp0.1_cd512_k64,tensor([0.0096])
lr0.0001_bs64_hd256_nl5_temp0.1_cd8_k32,tensor([0.0094])
lr0.0001_bs64_hd256_nl5_temp0.1_cd8_k64,tensor([0.0094])
lr0.0001_bs64_hd256_nl5_temp0.1_cd64_k32,tensor([0.0096])
lr0.0001_bs64_hd256_nl5_temp0.1_cd64_k64,tensor([0.0095])
lr0.0001_bs64_hd256_nl5_temp0.1_cd512_k32,tensor([0.0096])
lr0.0001_bs64_hd256_nl5_temp0.1_cd512_k64,tensor([0.0096])
