Hyperparams,Best_Val_Loss
lr0.0001_bs64_hd128_nl3_nh4_cd8_k16,tensor([0.0109])
lr0.0001_bs64_hd128_nl3_nh4_cd8_k32,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh4_cd8_k64,tensor([0.0113])
lr0.0001_bs64_hd128_nl3_nh4_cd64_k16,tensor([0.0116])
lr0.0001_bs64_hd128_nl3_nh4_cd64_k32,tensor([0.0101])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k16,tensor([0.0118])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k32,tensor([0.0117])
lr0.0001_bs64_hd128_nl3_nh4_cd64_k64,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh4_cd512_k64,tensor([0.0116])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k16,tensor([0.0114])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k32,tensor([0.0109])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k16,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh16_cd8_k64,tensor([0.0112])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k32,tensor([0.0110])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k16,tensor([0.0115])
lr0.0001_bs64_hd128_nl3_nh16_cd64_k64,tensor([0.0114])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k32,tensor([0.0108])
lr0.0001_bs64_hd128_nl3_nh16_cd512_k64,tensor([0.0098])
lr0.0001_bs64_hd128_nl5_nh4_cd64_k16,tensor([0.0116])
lr0.0001_bs64_hd128_nl5_nh4_cd8_k16,tensor([0.0115])
lr0.0001_bs64_hd128_nl5_nh4_cd512_k16,tensor([0.0119])
lr0.0001_bs64_hd128_nl5_nh4_cd8_k32,tensor([0.0113])
lr0.0001_bs64_hd128_nl5_nh4_cd64_k32,tensor([0.0114])
lr0.0001_bs64_hd128_nl5_nh4_cd512_k32,tensor([0.0115])
lr0.0001_bs64_hd128_nl5_nh16_cd8_k16,tensor([0.0113])
lr0.0001_bs64_hd128_nl5_nh4_cd64_k64,tensor([0.0114])
lr0.0001_bs64_hd128_nl5_nh4_cd512_k64,tensor([0.0115])
lr0.0001_bs64_hd128_nl5_nh4_cd8_k64,tensor([0.0112])
lr0.0001_bs64_hd128_nl5_nh16_cd64_k16,tensor([0.0108])
lr0.0001_bs64_hd128_nl5_nh16_cd512_k16,tensor([0.0109])
lr0.0001_bs64_hd128_nl5_nh16_cd8_k64,tensor([0.0108])
lr0.0001_bs64_hd128_nl5_nh16_cd64_k64,tensor([0.0111])
lr0.0001_bs64_hd128_nl5_nh16_cd512_k64,tensor([0.0110])
lr0.0001_bs64_hd128_nl5_nh16_cd512_k32,tensor([0.0112])
